中级python开发工程师[上海·徐家汇],python开发工程师[成都·高新区],python开发工程师[西安·雁塔区],python开发工程师[上海·塘桥],python开发工程师[上海·浦东新区],Python开发工程师[广州·棠下],python开发工程师[成都·武侯区],python开发工程师[北京·建国门],python开发工程师[广州·黄埔区],Python开发工程师[北京·海淀区],python开发[深圳·福田区],python开发工程师[广州·珠江新城],python开发[北京·建国门],python开发工程师[北京·七里庄],python开发工程师[上海·七宝]
上海江煦信息科技,友邦科技,中电金信,达观数据,玖奕基金,华资软件,中电金信,星尘数据,多益网络,云孚科技,拓保软件,广州亿博,景生星月信息科技,云庐科技,弘连网络
软件服务｜咨询 / 不需要融资 / 15-50人,IT技术服务｜咨询 / 上市公司 / 500-2000人,"IT技术服务｜咨询,软件服务｜咨询 / B轮 / 2000人以上","人工智能服务,数据服务｜咨询 / C轮 / 500-2000人","金融业,科技金融 / 不需要融资 / 15-50人","软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人","IT技术服务｜咨询,软件服务｜咨询 / B轮 / 2000人以上","软件服务｜咨询,数据服务｜咨询,人工智能服务 / A轮 / 50-150人",游戏 / 不需要融资 / 2000人以上,人工智能服务 / 不需要融资 / 15-50人,数据服务 / 未融资 / 2000人以上,移动互联网 / 不需要融资 / 150-500人,"软件服务｜咨询,人工智能服务,科技金融 / 未融资 / 15-50人",数据服务｜咨询 / B轮 / 150-500人,数据服务｜咨询 / A轮 / 150-500人
15k-20k,9k-11k,13k-23k,10k-15k,20k-40k,13k-25k,3k-6k,10k-15k,9k-18k,10k-20k,12k-16k,11k-12k,4k-6k,20k-30k,10k-20k
“提供办公室零食、咖啡”,“周末双休、五险一金、弹性工作、定期体检”,“大平台 弹性工作制”,“13薪”,“五险一金、弹性工作、带薪年假、宝藏老板”,“六险一金，福利好，大平台，大项目”,“团队大牛 500强外企 周末双休”,“AI行业，人工智能”,“互联网百强”,“哈工大孵化、认知智能、大牛带队、挑战多成长快”,“大项目”,“五险一金”,“实习转正机会 发展空间大 节日福利 定期团建”,“大牛带队，六险一金，春节超长放假”,“弹性工作、内部培训、技术挑战、优秀团队”
python开发工程师[广州·海珠区],python开发工程师[北京·朝阳区],python开发工程师[广州·天河区],Python开发工程师[北京·西城区],python开发工程师[深圳·南山区],python开发工程师[深圳·南山区],Python开发工程师[广州·东圃],Python工程师[北京·海淀区],Python开发工程师[北京·海淀区],python开发工程师[北京·奥运村],python开发工程师[上海·金桥],Python开发工程师[北京·东四十条],python开发工程师[武汉·江夏区],python开发工程师[北京·海淀区],python开发工程师[北京·北下关]
派客朴食,同道大象,发业信息,因诺,博悦科创,德科信息,广州南天,视野数科,视野数科,睿智思科,证通股份,信永中和,外企德科人力资源服务,外企德科人力资源服务,混沌学园
人工智能服务 / A轮 / 150-500人,科技金融 / 不需要融资 / 50-150人,专业服务｜咨询 / 未融资 / 50-150人,金融业 / 不需要融资 / 50-150人,IT技术服务｜咨询 / 不需要融资 / 500-2000人,物联网 / 不需要融资 / 2000人以上,IT技术服务｜咨询 / 上市公司 / 500-2000人,科技金融 / A轮 / 50-150人,科技金融 / A轮 / 50-150人,IT技术服务｜咨询 / 天使轮 / 15-50人,"科技金融,社交平台 / 不需要融资 / 150-500人",专业服务｜咨询 / 不需要融资 / 2000人以上,企业服务 / 未融资 / 2000人以上,企业服务 / 未融资 / 2000人以上,在线教育 / 不需要融资 / 150-500人
13k-18k,18k-22k,15k-20k,20k-30k,10k-15k,16k-23k,12k-15k,14k-18k,10k-14k,7k-14k,15k-25k,15k-25k,12k-22k,15k-30k,20k-38k
“地铁上盖、节假日福利、五险一金”,“发展前景好 六险一金 平台稳定”,“发展前景、人性化管理”,"“扁平管理,牛人团队,绩效奖金,六险一金”",“带薪年假 年度体检 年度旅游”,“海景办公、技术大牛”,"“五险一金,年终奖金,带薪年假,节日福利”",“五险一金，定期团建”,“五险一金，定期团建”,“公司内部的薪酬机制非常灵活，成长空间很高”,“工作环境好、工作氛围和谐、福利待遇优厚”,"“环境好,不加班,大公司”",“五险一金、通勤班车、交通补贴、”,“华为职位，大厂技术，福利待遇好，晋升通道”,“弹性工作 六险一金 平台能量高 大牛云集”
Python开发工程师[深圳·科技园],python开发工程师[北京·知春路],Python 开发工程师-2023届[成都·高新区],python开发工程师[深圳·宝安区],python开发工程师[上海·长征],python开发工程师[杭州·西溪],python开发工程师[武汉·洪山区],python开发工程师/PM[上海·金桥],python工程师[北京·东四十条],高级python开发工程师[上海·浦东新区],python开发工程师[上海·黄浦区],python后端开发工程师[上海·闵行区],python开发工程师[重庆·渝北区],c++/python/c#[上海·洋泾],python研发工程师[武汉·宝丰]
微众信科,达观数据,友邦科技,小溪流科技,波克城市,五色云,拓保软件,中软国际科技服务有限公司,信永中和,玖奕基金,谷露软件,上海炫体信息科技,中国民航信息网络股份有限公司重庆分公司,坤亿科技,云孚科技
"IT技术服务｜咨询,人工智能服务 / D轮及以上 / 150-500人","人工智能服务,数据服务｜咨询 / C轮 / 500-2000人",IT技术服务｜咨询 / 上市公司 / 500-2000人,IT技术服务｜咨询 / 不需要融资 / 50-150人,游戏 / 未融资 / 500-2000人,"企业服务,电商 / 不需要融资 / 15-50人",数据服务 / 未融资 / 2000人以上,IT技术服务｜咨询 / 上市公司 / 2000人以上,专业服务｜咨询 / 不需要融资 / 2000人以上,"金融业,科技金融 / 不需要融资 / 15-50人",工具类产品 / A轮 / 50-150人,"移动互联网,企业服务 / 不需要融资 / 50-150人",生活服务 / 上市公司 / 500-2000人,IT技术服务｜咨询 / 不需要融资 / 150-500人,人工智能服务 / 不需要融资 / 15-50人
15k-25k,15k-25k,4k-8k,12k-18k,18k-35k,12k-24k,13k-17k,10k-20k,5k-10k,20k-40k,15k-30k,18k-28k,5k-10k,18k-20k,6k-12k
“发展空间大”,“六险一金 年假多多 AI项目 专业培训”,“扁平沟通，高效协作，具有转正机会”,“五险一金带薪年假节假福利年终奖金弹性上班”,“包三餐、境外游、15薪、公租房、租房补贴”,“技术大牛带队，周末双休，五险一金”,“双休”,“线上面试+公积金全额”,"“环境好,不加班,大公司”",“五险一金、弹性工作、带薪年假、宝藏老板”,“技术氛围好，成长空间大”,“扁平化管理、别墅式办公环境、做五休二，加班少”,“六险二金、带薪年假、工会福利、教育培训”,“外企 双休 不加班”,“大牛直接带，高速成长”
python开发工程师[上海·陆家嘴],资深自动化测试工程师（Python/Java/JS)[成都·武侯区],python开发工程师[广州·五山],Java/测试/安卓/运维/C++/Python[西安·高新技术产业开发区],python后端开发工程师[长沙·开福区],python开发工程师[成都·高新区],python开发工程师[上海·陆家嘴],Python开发工程师[广州·客村],python爬虫工程师[北京·海淀区],python开发工程师[深圳·大冲],python高级开发工程师[深圳·宝安区],python开发工程师[成都·柳江],Python开发工程师[杭州·仓前],python开发工程师[广州·珠江新城],python开发工程师[上海·黄浦区]
言羽科技,亿磐,高考直通车,中软国际科技服务有限公司,盈米基金,思而科,德科信息,爱范儿,中电博亚,金证睿服,血之缘,运荔枝科技,圆通,钧誉资产,谷露软件
"软件服务｜咨询,IT技术服务｜咨询,人工智能服务 / 不需要融资 / 50-150人",IT技术服务｜咨询 / 上市公司 / 2000人以上,内容资讯 / 未融资 / 50-150人,IT技术服务｜咨询 / 上市公司 / 2000人以上,科技金融 / B轮 / 150-500人,"IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 150-500人",物联网 / 不需要融资 / 2000人以上,营销服务｜咨询 / 不需要融资 / 150-500人,游戏 / A轮 / 50-150人,软件服务｜咨询 / 上市公司 / 2000人以上,"医疗丨健康,软件开发 / 未融资 / 50-150人",软件开发 / 不需要融资 / 50-150人,物流｜运输 / 上市公司 / 2000人以上,金融业 / 未融资 / 50-150人,工具类产品 / A轮 / 50-150人
20k-40k,15k-30k,8k-12k,15k-30k,15k-25k,12k-20k,15k-20k,10k-20k,15k-20k,11k-20k,18k-30k,10k-15k,15k-30k,10k-15k,15k-30k
“福利待遇、发展前景”,“良好环境 丰富的培训计划 清晰的职业规划”,“周末双休 弹性时间 扁平化管理”,“五险一金 双休 高薪 电话面试”,“带薪休假、午餐补助、定期体检，五险一金”,“五险一金 年终奖 节日福利 双休 弹性工作时”,“大厂福利好”,“注重技术设计，开发流程规范，拥抱新技术”,“带薪年假 大牛团队 扁平化管理 团建 下午茶”,“六险一金，周末双休”,“带薪年假 节日福利 一档社保 工作餐”,“团队氛围好 晋升空间大”,"“上市公司,前景好,氛围好,调薪机会多”",“扁平化管理 周末双休 丰厚年终奖”,“最具极客精神的技术氛围，最NICE的工作伙伴”
python开发工程师[上海·黄浦区],Python开发工程师[广州·客村],python开发工程师[广州·海珠区],Python开发工程师/专家-【安全】[北京·西二旗],python开发工程师[北京·朝阳区],python开发工程师[上海·杨浦区],python开发工程师[杭州·仓前],Python开发工程师[深圳·科技园],python开发工程师[合肥·双岗],高级后端开发工程师（golang&amp;python）[深圳·南山区],python开发工程师[上海·陆家嘴],python测试开发[深圳·坂田],python开发工程师[成都·高新区],python开发工程师[上海·陆家嘴],python开发工程师[上海·洋泾]
谷露软件,爱范儿,法本信息,快手,文谛资产管理,cam software,圆通,金蝶账无忧,网达软件,DJI大疆创新,平安科技,软通动力,思而科,言羽科技,联想电讯盈科企业方案
工具类产品 / A轮 / 50-150人,营销服务｜咨询 / 不需要融资 / 150-500人,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上",短视频 / 上市公司 / 2000人以上,金融 / 不需要融资 / 15-50人,科技金融 / A轮 / 50-150人,物流｜运输 / 上市公司 / 2000人以上,企业服务 / 不需要融资 / 50-150人,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 500-2000人",智能硬件 / 未融资 / 2000人以上,"科技金融,人工智能服务,软件服务｜咨询 / 上市公司 / 2000人以上",IT技术服务｜咨询 / 不需要融资 / 2000人以上,"IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 150-500人","软件服务｜咨询,IT技术服务｜咨询,人工智能服务 / 不需要融资 / 50-150人","软件服务｜咨询,IT技术服务｜咨询,网络通信 / 上市公司 / 2000人以上"
15k-30k,20k-30k,13k-22k,20k-40k,15k-18k,12k-24k,15k-30k,13k-20k,13k-17k,25k-50k,20k-35k,12k-20k,3k-6k,15k-30k,10k-14k
“最具极客精神的技术氛围，最NICE的工作伙伴”,“连接热爱，创造不同”,“周末双休不加班”,"“大牛云集,免费餐食,高福利,免费免费”",“五险一金 周末双休 带薪年假 定期体检”,“年终奖、绩效、培训”,“双休、五险一金”,“全面提升爬虫和机器学习能力的机会和舞台”,“技术牛”,“大厂”,“集团大平台，科技中台，场景丰富”,“团队大牛”,“五险一金 双休 年终 弹性工作时间 节日福利”,“发展前景”,“全额五险一金 补充医疗 超长年假 试用期全薪”
python开发工程师[上海·洋泾],Python[上海·张江],python开发工程师[深圳·西丽],python开发工程师[上海·江桥],python工程师[北京·朝阳区],python开发工程师[北京·海淀区],python开发工程师[北京·西北旺],python开发工程师[上海·张江],python开发工程师[北京·西直门],python开发工程师[北京·和平里],python开发工程师[成都·武侯区],python开发工程师[北京·东城区],python开发工程师[上海·五角场],python开发工程师[深圳·科技园],python开发工程师[成都·武侯区]
联想电讯盈科企业方案,PwC,微创软件,小i机器人,啫喱,志翔科技,法本信息,微创软件,天天数链,北大医信,链安科技,奇点浩翰,速石科技,华港咨询（深圳）有限公司,博彦科技
"软件服务｜咨询,IT技术服务｜咨询,网络通信 / 上市公司 / 2000人以上",科技金融 / 未融资 / 500-2000人,IT技术服务｜咨询 / 不需要融资 / 2000人以上,智能硬件 / 不需要融资 / 500-2000人,"内容资讯,信息检索 / D轮及以上 / 500-2000人","数据服务｜咨询,信息安全 / C轮 / 150-500人","人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上",IT技术服务｜咨询 / 不需要融资 / 2000人以上,"软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 150-500人","软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人",区块链 / B轮 / 50-150人,"数据服务｜咨询,IT技术服务｜咨询 / 未融资 / 50-150人",人工智能服务 / B轮 / 50-150人,金融 / 未融资 / 150-500人,"人工智能服务,软件服务｜咨询,数据服务｜咨询 / 上市公司 / 2000人以上"
10k-14k,15k-25k,10k-15k,15k-21k,30k-50k,20k-30k,12k-20k,21k-24k,10k-20k,7k-14k,17k-22k,15k-30k,25k-40k,15k-30k,10k-12k
“全额五险一金 补充医疗 超长年假 试用期全薪”,“外企环境 技术前沿 团队氛围佳”,“外派腾讯游戏部门”,“人工智能团队发展前景好、团队大牛”,“股票期权”,“清华管理团队，电力大数据行业知名企业”,“大平台，项目稳定”,“芯片 大厂”,“发展前景广阔”,“五险一金 交通补助 餐补 定期体检”,“下午茶+加班补贴+全勤奖+节日福利+体检+旅游”,“发展前景好 福利待遇从优 位置绝佳”,“发展空间大 工作氛围佳 扁平化管理”,“年度体检、五险一金、节日礼物、团建旅行”,“大团队”
python开发工程师[上海·洋泾],Python[上海·张江],python开发工程师[深圳·西丽],python开发工程师[上海·江桥],python工程师[北京·朝阳区],python开发工程师[北京·海淀区],python开发工程师[北京·西北旺],python开发工程师[上海·张江],python开发工程师[北京·西直门],python开发工程师[北京·和平里],python开发工程师[成都·武侯区],python开发工程师[北京·东城区],python开发工程师[上海·五角场],python开发工程师[深圳·科技园],python开发工程师[成都·武侯区]
联想电讯盈科企业方案,PwC,微创软件,小i机器人,啫喱,志翔科技,法本信息,微创软件,天天数链,北大医信,链安科技,奇点浩翰,速石科技,华港咨询（深圳）有限公司,博彦科技
